source_id,document_family,inferred_year,filename,relative_path,file_size_bytes,page_count,pages_with_text,text_coverage_pct,total_extracted_characters,parcel_number_occurrences,unique_parcel_numbers,paid_in_full_count,administratively_pulled_count,must_be_sold_with_count,sale_does_not_include_count,subject_to_count,redeemed_count,inferred_from_filename_flag,inferred_from_content_flag,review_required_flag,review_reason
affidavits-2020-2020-affidavit-of-publication-with-publication,affidavits,2020.0,2020 Affidavit of Publication-with Publication.pdf,data/raw/affidavits/2020 Affidavit of Publication-with Publication.pdf,2145575,16,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
affidavits-2021-2021-publication-doc-for-webpage,affidavits,2021.0,2021 Publication doc for webpage.pdf,data/raw/affidavits/2021 Publication doc for webpage.pdf,6224789,37,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
affidavits-2022-2022-affidavit-of-publication,affidavits,2022.0,2022 Affidavit of Publication.pdf,data/raw/affidavits/2022 Affidavit of Publication.pdf,6001327,38,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
affidavits-2023-2023-affidavit-of-publication-for-webpage,affidavits,2023.0,2023 Affidavit of Publication for webpage.pdf,data/raw/affidavits/2023 Affidavit of Publication for webpage.pdf,7161478,44,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
affidavits-2024-2024-affidavit-of-publication-for-webpage,affidavits,2024.0,2024 Affidavit of Publication for webpage.pdf,data/raw/affidavits/2024 Affidavit of Publication for webpage.pdf,39541010,63,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
affidavits-2025-2025-affidavit-merged,affidavits,2025.0,2025 Affidavit.Merged.pdf,data/raw/affidavits/2025 Affidavit.Merged.pdf,3017420,54,39,72.22,78354,127,118,20,1,5,0,21,1,True,True,False,
certificates-2021-2021-cod-filed-6-8-2021-amended-6-9-2021,certificates,2021.0,2021 COD filed 6 8 2021 Amended 6 9 2021.pdf,data/raw/certificates/2021 COD filed 6 8 2021 Amended 6 9 2021.pdf,3154586,31,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
certificates-2022-2022-certificate-of-delinquency-w-exh-a,certificates,2022.0,2022 Certificate of Delinquency w Exh A.pdf,data/raw/certificates/2022 Certificate of Delinquency w Exh A.pdf,10058517,24,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
certificates-2023-2023-cod-and-exh-a,certificates,2023.0,2023 COD and Exh A.pdf,data/raw/certificates/2023 COD and Exh A.pdf,12244447,39,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
certificates-2024-2024-certificate-of-delinquency-for-webpage,certificates,2024.0,2024 Certificate of Delinquency for webpage.pdf,data/raw/certificates/2024 Certificate of Delinquency for webpage.pdf,1099332,43,41,95.35,66127,125,121,0,0,2,0,12,0,True,True,False,
certificates-2025-2025-cert-of-del-exh-a-scan,certificates,2025.0,2025 Cert of Del Exh A scan.pdf,data/raw/certificates/2025 Cert of Del Exh A scan.pdf,25398439,35,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
certificates-2026-05-051426-certificate-of-delinquency-1,certificates,2026.0,05_ 051426- Certificate of Delinquency (1).pdf,data/raw/certificates/05_ 051426- Certificate of Delinquency (1).pdf,2367779,42,40,95.24,82712,171,147,0,0,8,0,18,0,False,True,False,
excess-funds-2023-2023-ef-scan-for-webpage-3-18-2025,excess_funds,2023.0,2023 EF scan for webpage 3 18 2025.pdf,data/raw/excess_funds/2023 EF scan for webpage 3 18 2025.pdf,1370711,2,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
excess-funds-2024-2024-ef-list-for-webpage-043026,excess_funds,2024.0,2024 EF list for webpage 043026.pdf,data/raw/excess_funds/2024 EF list for webpage 043026.pdf,787997,1,1,100.0,10,0,0,0,0,0,0,0,0,True,True,True,no parcel-number patterns extracted
excess-funds-2025-2025-ef-list-051426,excess_funds,2025.0,2025 EF LIST 051426.pdf,data/raw/excess_funds/2025 EF LIST 051426.pdf,210552,1,1,100.0,4454,10,10,0,0,0,0,0,0,True,True,False,
final-orders-2019-2019-final-order-of-sale,final_orders,2019.0,2019 FINAL Order of Sale.pdf,data/raw/final_orders/2019 FINAL Order of Sale.pdf,2475100,21,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
final-orders-2020-2020-final-order-of-sale-11-17-2020,final_orders,2020.0,2020 FINAL ORDER OF SALE 11 17 2020.pdf,data/raw/final_orders/2020 FINAL ORDER OF SALE 11 17 2020.pdf,2280165,26,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
final-orders-2021-2021-final-order-of-sale-scan,final_orders,2021.0,2021 FINAL ORDER OF SALE scan.pdf,data/raw/final_orders/2021 FINAL ORDER OF SALE scan.pdf,1545641,28,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
final-orders-2022-2022-filed-final-order-of-sale,final_orders,2022.0,2022 FILED Final Order of Sale.pdf,data/raw/final_orders/2022 FILED Final Order of Sale.pdf,1610725,25,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
final-orders-2023-2023-final-order-of-sale-court-signed,final_orders,2023.0,2023 Final Order of Sale court signed.pdf,data/raw/final_orders/2023 Final Order of Sale court signed.pdf,975161,32,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
final-orders-unknown-27-111224-final-order-of-sale,final_orders,,27_ 111224- FINAL Order of Sale.pdf,data/raw/final_orders/27_ 111224- FINAL Order of Sale.pdf,2528614,38,0,0.0,0,0,0,0,0,0,0,0,0,False,False,True,year not inferred; low searchable-text coverage; no parcel-number patterns extracted
final-orders-unknown-52-10242025-final-order-of-sale,final_orders,,52_10242025 Final Order of Sale.pdf,data/raw/final_orders/52_10242025 Final Order of Sale.pdf,37399550,17,0,0.0,0,0,0,0,0,0,0,0,0,False,False,True,year not inferred; low searchable-text coverage; no parcel-number patterns extracted
returns-2019-2019-return-of-sale,returns,2019.0,2019 Return of Sale.pdf,data/raw/returns/2019 Return of Sale.pdf,932893,7,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
returns-2020-2020-return-of-sale,returns,2020.0,2020 Return of Sale.pdf,data/raw/returns/2020 Return of Sale.pdf,910866,6,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
returns-2021-2021-return-of-sale,returns,2021.0,2021 Return of Sale.pdf,data/raw/returns/2021 Return of Sale.pdf,1241439,4,1,25.0,114,0,0,0,0,0,0,0,0,True,True,True,low searchable-text coverage; no parcel-number patterns extracted
returns-2022-2022-return-of-sale-for-webpage,returns,2022.0,2022 Return of Sale for webpage.pdf,data/raw/returns/2022 Return of Sale for webpage.pdf,1316731,4,0,0.0,0,0,0,0,0,0,0,0,0,True,False,True,low searchable-text coverage; no parcel-number patterns extracted
returns-2023-2023-return-of-sale,returns,2023.0,2023 Return of Sale.pdf,data/raw/returns/2023 Return of Sale.pdf,1518939,5,1,20.0,112,0,0,0,0,0,0,0,0,True,True,True,low searchable-text coverage; no parcel-number patterns extracted
returns-2025-25-2-04495-31-2025-return-of-sale-exh-a,returns,2025.0,25-2-04495-31_2025 RETURN OF SALE-EXH A.pdf,data/raw/returns/25-2-04495-31_2025 RETURN OF SALE-EXH A.pdf,104834,1,1,100.0,2499,10,10,0,0,0,0,0,0,False,True,False,
returns-2025-28-010925-return-of-sale,returns,2025.0,28_ 010925- Return of Sale.pdf,data/raw/returns/28_ 010925- Return of Sale.pdf,246172,5,4,80.0,4704,16,16,0,0,0,0,0,0,False,True,False,
